no,Tree_no,species,DBH_cm,height_m,crown_radius_m,sapwood_area_cm2,BEZKM,LAI,tree_age,long_wgs84,lat_wgs84
1,650,Pinus sylvestris,33.42,13.7,2.83,386.526262,control,1.8,100,7.611329,46.301624
2,652,Pinus sylvestris,17.13,16.19,1.87,108.2067877,control,1.8,100,7.611329,46.301624
3,655,Pinus sylvestris,28.01,21.15,2.53,276.1074978,control,1.8,100,7.611329,46.301624
4,656,Pinus sylvestris,35.05,23.89,2.91,423.2309414,control,1.8,100,7.611329,46.301624
5,657,Pinus sylvestris,18.59,16.93,1.97,126.4514942,control,1.8,100,7.611329,46.301624
1,716,Pinus sylvestris,17.7,12.3,1.91,115.1690542,stop,2.4,100,7.611329,46.301624
2,730,Pinus sylvestris,23.65,19.3,2.28,200.0299652,stop,2.4,100,7.611329,46.301624
3,731,Pinus sylvestris,18.65,16.96,1.97,127.2301124,stop,2.4,100,7.611329,46.301624
4,733,Pinus sylvestris,38.64,25.19,3.09,509.6270099,stop,2.4,100,7.611329,46.301624
5,737,Pinus sylvestris,34.44,23.67,2.88,409.3096794,stop,2.4,100,7.611329,46.301624
1,839,Pinus sylvestris,25.59,20.14,2.4,232.4452215,irrigation,2.7,100,7.611329,46.301624
2,840,Pinus sylvestris,26.48,20.52,2.45,248.087842,irrigation,2.7,100,7.611329,46.301624
3,841,Pinus sylvestris,28.39,21.31,2.56,283.2871014,irrigation,2.7,100,7.611329,46.301624
4,842,Pinus sylvestris,29.79,21.87,2.63,310.4924445,irrigation,2.7,100,7.611329,46.301624
5,844,Pinus sylvestris,18.62,16.95,1.97,126.8405195,irrigation,2.7,100,7.611329,46.301624
