"","site","horizon","upper","lower","texture","bd","gravel","sand","silt","clay","c_org","rootden","ths","thr","alpha","npar","mpar","ksat","tort"
"1","PFY","Ah",0,-0.07,"Slu",0.562,0.38,49.4,42,8.65,11.144,44.8156564828571,0.4138,0,8.165,1.17695,0.150346233909682,1095.16,-3.919
"2","PFY","AC",-0.07,-0.09,"Slu",0.696,0.62,45.55,45,9.55,2.792,30.69438934,0.4138,0,8.165,1.17695,0.150346233909682,1095.16,-3.919
"3","PFY","AC",-0.09,-0.1,"Slu",0.696,0.62,45.55,45,9.55,2.792,30.69438934,0.4138,0,8.165,1.17695,0.150346233909682,1095.16,-3.919
"4","PFY","AC",-0.1,-0.19,"Slu",0.696,0.62,45.55,45,9.55,2.792,30.69438934,0.4138,0,8.165,1.17695,0.150346233909682,1095.16,-3.919
"5","PFY","AC",-0.19,-0.2,"Slu",0.696,0.62,45.55,45,9.55,2.792,30.69438934,0.4138,0,8.165,1.17695,0.150346233909682,1095.16,-3.919
"6","PFY","AC",-0.2,-0.25,"Slu",0.696,0.62,45.55,45,9.55,2.792,30.69438934,0.4138,0,8.165,1.17695,0.150346233909682,1095.16,-3.919
"7","PFY","C",-0.25,-0.39,"Su4",0.937,0.62,51.75,42,6.7,0.773,23.0746408985714,0.3839,0,6.005,1.22228,0.181856857675819,832.97,-3.738
"8","PFY","C",-0.39,-0.4,"Su4",0.937,0.62,51.75,42,6.7,0.773,18.84144732,0.3839,0,6.005,1.22228,0.181856857675819,832.97,-3.738
"9","PFY","C",-0.4,-0.5,"Su4",0.937,0.62,51.75,42,6.7,0.773,18.84144732,0.3839,0,6.005,1.22228,0.181856857675819,832.97,-3.738
"10","PFY","C",-0.5,-0.59,"Su4",1.003,0.62,50.65,43,6.75,0.264,18.84144732,0.3839,0,6.005,1.22228,0.181856857675819,832.97,-3.738
"11","PFY","C",-0.59,-0.6,"Su4",1.003,0.62,50.65,43,6.75,0.264,18.84144732,0.3839,0,6.005,1.22228,0.181856857675819,832.97,-3.738
"12","PFY","C",-0.6,-0.79,"Su4",1.003,0.62,50.65,43,6.75,0.264,9.91655122105263,0.3839,0,6.005,1.22228,0.181856857675819,832.97,-3.738
"13","PFY","C",-0.79,-0.8,"Su4",1.003,0.62,50.65,43,6.75,0.264,0,0.3839,0,6.005,1.22228,0.181856857675819,832.97,-3.738
"14","PFY","C",-0.8,-1,"Su4",1.003,0.62,50.65,43,6.75,0.264,0,0.3839,0,6.005,1.22228,0.181856857675819,832.97,-3.738
